PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,treatment,temp,pco2,timepoint,reef,ploidy,group.1,treesplit
0.01,-0,-0.09,0.02,-0.05,-0.07,-0.07,-0.03,-0.02,0.03,0.02,0.08,-0.01,0.08,0.05,0.06,0.01,-0.04,-0.02,0,0.01,-0.15,-0.01,-0.01,0.01,0,-0.11,0.1,-0.09,0.04,0.02,-0.08,-0.07,1,0.06,0.03,-0.06,-0.01,0.05,-0.01,-0.02,0.14,0.09,0.09,0.01,0.06,0.04,-0.07,0.01,0.03,0.08,0.01,0.01,-0.05,0.04,-0.03,-0.05,-0.07,0.01,-0.05,0.04,0.03,-0,-0.01,0.06,-0.02,-0.03,0.01,-0,-0.02,0.06,0.03,0.08,-0.02,0.05,0.04,0.04,0.05,-0.02,0.02,-0.01,0.08,-0.08,0.16,-0.04,0.1,0.09,0.03,-0.1,-0.07,0.06,-0.04,0.06
-0.02,0.03,0.01,0.03,0.05,-0.1,0.03,0.04,0.02,-0,0.09,-0.02,0.03,0.03,0.01,-0,0.01,0.02,-0.07,-0.02,-0,-0.06,-0.02,-0.02,0.04,0.01,0.11,0.02,-0.01,0.01,-0.01,0.02,-0,0.06,1,0.01,0.04,0.01,-0.08,0.03,0.01,-0.04,-0.07,-0.02,-0,-0.09,0.06,-0,-0.08,0.02,-0.02,0.11,0.03,0,0.01,-0.02,-0.09,-0.04,0.02,-0.04,-0.02,-0.01,0,-0.02,0.04,0.03,-0.01,-0.03,0.03,0.02,0.02,0.01,0.07,0.03,-0.05,0.01,-0.04,-0.06,-0.01,-0.07,0.09,0.09,-0.03,0.04,0,-0.05,-0.07,0.03,0.09,-0.02,0.01,-0.02,-0.01
0.06,0.06,-0.05,-0.01,-0.07,-0,0.04,-0.02,-0.09,-0.01,0.06,0.03,0.01,0.05,0.03,0.06,0.01,0.05,0.03,0.04,-0.02,-0.04,0.02,-0.01,0.02,-0.02,0.1,0.03,-0.13,-0.02,-0.05,-0.02,0.01,0.03,0.01,1,-0.05,-0.04,-0.06,0.13,-0.15,0.03,-0.07,-0.05,0.01,0.07,0.01,-0.02,-0.04,-0.09,0.09,-0.03,0.04,0.04,0.07,0.02,-0.06,-0.03,0.05,-0.07,-0.02,0,0.09,-0.01,0,-0.04,0.03,-0.04,0.02,0.1,0.03,0.07,-0,-0.07,-0.02,0.02,0.06,0.09,-0.01,-0.09,0.03,-0,-0,0.13,0.05,0.13,0.13,0.02,-0.08,0.17,-0.06,0.03,-0.08
0.01,-0.02,0.05,-0.02,0.12,-0.09,-0.05,-0.04,-0.08,-0,-0.08,-0,-0.02,0.05,0.01,-0.01,0.04,0.03,0.03,0.02,0.02,0.09,-0.05,-0.02,-0.02,0.06,-0.04,-0.06,-0.05,0.05,-0.02,-0.08,-0.06,-0.06,0.04,-0.05,1,0.06,-0.02,0.03,-0.06,-0.08,-0.02,-0.03,-0.05,-0.04,0.05,-0.03,0.06,-0.02,0.06,0.09,-0.08,0.01,-0,-0.03,0.08,-0.1,0.01,0.02,-0.03,0,0.02,-0.04,-0.09,-0.01,0.03,-0.02,-0.04,0.04,0.09,0.04,0.03,0.04,-0,0,0.04,0.06,0.04,0.02,0,0.05,-0.05,0.04,-0.09,-0.07,-0.1,0.04,0.18,-0.08,0,0.01,0.01
-0.03,0,-0.01,-0.02,-0.02,0.02,0.05,-0,0.06,0,0.01,-0.07,0.08,0.06,0.07,-0.01,0.03,0.06,-0.05,0.06,-0.08,0.07,-0.02,0.1,-0.03,0.09,0,0.03,-0.08,-0,0.09,-0.04,-0.02,-0.01,0.01,-0.04,0.06,1,0.02,-0.11,-0.01,-0.01,-0.06,0.11,0.05,-0,-0,0.03,0.07,-0.04,0.07,-0.01,0.12,-0.03,-0.03,0.07,0.06,-0.03,0,0.1,0.02,-0.02,-0.01,0.01,-0.01,-0.03,-0.02,0.08,-0.01,-0.01,0.06,0.02,-0.08,0.02,0.05,0.02,-0.02,-0.05,0.01,0.02,0.04,0.04,0.02,-0.01,-0.04,0.02,0.09,-0.14,0.05,0.12,0.06,-0.04,0.06
-0.02,0,0.02,-0,0.07,0.01,0.01,-0,0.06,-0.02,-0.06,0.02,0.03,-0.02,-0.02,0.03,-0.02,-0.04,0.03,-0.01,-0.03,0.08,-0.07,0.07,-0.15,0,-0.05,-0.01,-0.03,-0.1,0.01,0.02,-0.01,0.05,-0.08,-0.06,-0.02,0.02,1,-0.06,0,-0.04,0.09,0.02,0.04,0.04,-0.03,-0.01,-0.04,-0.02,-0.01,-0.08,-0.05,-0.02,0.05,0.02,-0.01,-0.17,0.03,-0.03,0.03,0.03,0.04,-0.05,0.03,-0.04,0.01,-0.06,0.02,0,-0.03,0.02,0,0.01,0.01,0.07,0.01,0.03,0.05,0.15,-0.03,0.03,0.05,0.01,-0.08,0.04,0.07,-0.05,0,-0.01,0.02,-0.01,0.02
0.01,0.04,-0.1,0.05,-0.05,0.06,-0.03,-0.15,-0.07,0.02,0.04,0.05,0.02,-0.01,0.01,0.01,-0.1,-0.04,-0,0.04,0.02,-0,0.03,-0.01,0.01,-0.02,0.07,-0.04,-0.03,0.01,0.03,0.03,0.08,-0.01,0.03,0.13,0.03,-0.11,-0.06,1,-0.01,-0.01,-0.1,0.02,0.03,-0.06,0.12,-0.06,0.02,0.18,0.01,-0.05,-0.01,0.11,0.12,-0.04,-0.01,-0.06,0.06,-0.05,0.06,-0,0.08,-0.01,0,0.06,0.01,-0.01,0.06,0.02,0.04,-0.06,0.04,0,-0.07,-0.02,-0.04,-0.01,-0.01,-0.02,0.02,0,-0,0.04,0.1,0.15,0.03,0.28,-0.11,0.01,0.03,-0.03,0.02
-0.13,0.04,-0.03,-0.1,0.07,-0.04,-0,-0.03,0.07,-0,-0.08,-0,0.01,-0.05,-0.08,0.05,-0.05,0,-0.04,-0.04,0.13,0.01,-0.01,0.06,0.05,0.04,0.05,-0.02,0.06,0.01,0.03,0.02,0.01,-0.02,0.01,-0.15,-0.06,-0.01,0,-0.01,1,-0.02,0.05,0.01,-0.01,-0.07,0.01,0.03,0.06,0.04,0.04,-0.02,0.02,0.08,0,0.02,0.12,0.02,-0.05,-0.01,-0.03,-0.04,0.06,0.01,-0.04,-0.03,0.01,-0.02,0.04,-0.06,-0.08,0.03,0.02,0.04,0.06,0.07,-0,-0.05,-0.08,0.06,-0.04,-0.01,0.01,-0.03,0.04,0.05,0.09,-0.07,0.01,-0.06,0.11,-0.12,0.07
0.01,0.03,0.01,0.02,-0.06,0.07,-0,-0.01,0.13,0.03,0.06,0.13,0.04,-0.05,-0.02,-0.05,-0.07,0.01,0.06,-0.02,0.01,-0.03,-0.07,0.03,0.05,-0,-0.03,0.02,-0.08,0.01,0.01,-0.03,-0.03,0.14,-0.04,0.03,-0.08,-0.01,-0.04,-0.01,-0.02,1,0.1,0.03,0.02,0.03,-0.04,0.01,0,-0.08,0.02,-0.06,-0.02,0.01,-0.01,-0.01,-0.04,-0.03,-0,-0.02,0.02,-0.03,-0.04,0.07,0.03,0.01,-0.01,0.01,0.04,-0.01,-0.07,0.03,0.01,-0.08,0.08,0.09,-0.03,-0.02,-0.04,0,-0.02,-0.03,0.09,0.13,0.13,0.13,0.22,-0.17,0,0.02,-0.01,-0.02,-0.03
0.04,-0.02,0.09,-0.04,-0.02,-0.08,0,-0.06,-0.04,-0,-0.04,0,-0.05,-0.06,0.04,0.01,-0.08,-0.03,0,0.06,-0.05,0.01,0.03,0.04,-0.11,-0.01,-0.06,0.07,0.05,-0.02,-0.03,0.01,0.02,0.09,-0.07,-0.07,-0.02,-0.06,0.09,-0.1,0.05,0.1,1,-0.04,-0.09,0.04,-0.01,0.01,0.06,-0.1,0.02,-0.09,-0.12,-0.1,0.03,0,-0.01,0.01,-0.04,0.02,-0.06,0.02,0.03,-0.04,-0.02,-0,0,-0.05,-0,-0.02,-0,0.04,0.02,-0.01,0.02,-0.04,-0.02,0,-0.02,0.07,-0.05,-0.07,0.02,0,0.01,0.07,0.14,-0.12,0.08,-0.2,-0.04,0.03,-0.04
0.03,-0,-0.06,0.04,0.02,0.03,0.01,0.01,-0,-0,-0.04,-0.05,0.06,0.06,0.03,0.05,-0.02,-0.05,0,-0,-0.01,-0.01,-0.06,0.08,0.04,-0.03,0.07,-0.03,-0.11,0,0,0.01,0.02,0.09,-0.02,-0.05,-0.03,0.11,0.02,0.02,0.01,0.03,-0.04,1,-0.05,-0,0.04,-0.01,-0.02,0.01,0.01,0.04,0.01,0.03,-0.02,-0.09,-0.02,-0.07,-0.02,-0.02,0,-0.04,0.02,0.04,0.11,-0.01,0.04,-0.04,0.01,-0.03,0.03,-0.02,-0.04,-0.03,0.02,-0.04,-0.02,0.03,-0.02,0,0.02,-0.07,0.1,0.06,-0.01,-0.04,-0.02,-0.05,-0.05,0.07,-0.02,0.02,-0.01
-0.02,0.03,0,0.07,-0.03,0.06,0.01,-0.05,0.03,-0.03,-0,0.03,0,-0,0.01,-0.08,-0.04,0.04,-0.04,-0.09,-0.01,0.06,-0.01,0.06,-0.01,-0.08,0.11,-0.07,0.03,-0.04,0.04,0.02,-0.04,0.01,-0,0.01,-0.05,0.05,0.04,0.03,-0.01,0.02,-0.09,-0.05,1,0.01,-0.07,-0.04,0.02,0.05,0.03,0.08,0.11,-0.02,0.02,-0.02,0.1,0.03,0.09,-0.03,0.06,-0.05,0,-0.04,0.06,0.01,-0.01,0.04,0.04,-0.02,0.04,-0.01,0.02,-0.11,-0.05,0.02,0.1,-0.06,0.05,-0,0.03,0.05,-0.02,0.04,0.07,0.01,0.02,-0.02,0.07,0.03,0.03,-0.05,-0
0.02,0.01,-0,-0.02,-0.03,0.04,-0.05,0.01,0.12,0.03,-0.01,-0.02,0.03,0.08,0.03,-0.02,0,0.1,0.01,0.02,-0.06,-0.05,-0,-0.08,0.11,-0.04,0.01,-0.01,-0.04,-0.11,0.03,0.07,-0.03,0.06,-0.09,0.07,-0.04,-0,0.04,-0.06,-0.07,0.03,0.04,-0,0.01,1,-0.09,-0,0.03,-0.07,0.07,0.01,0.06,-0.01,-0.02,0.03,0.04,-0.08,0.02,0.01,0,0.1,-0.05,-0,-0.04,-0.07,0.03,-0.05,0.06,-0.06,0,-0.01,0.04,0.02,-0.07,0.06,0.13,0.1,-0.06,0.06,0.03,-0.09,-0.04,0.23,-0.08,-0.07,-0.05,-0.05,-0.05,0.03,0,-0.01,0
0.01,0,-0.01,-0.01,0.03,0.07,0.04,-0.07,-0,0,-0.15,0.04,-0.06,-0.01,0.04,0,0.04,-0.04,-0,0.05,0.05,-0.03,-0.06,0.03,-0.08,0.03,0.03,0.02,-0.04,-0.04,0.03,0.06,0.01,0.04,0.06,0.01,0.05,-0,-0.03,0.12,0.01,-0.04,-0.01,0.04,-0.07,-0.09,1,0.02,0.01,0.06,-0.01,-0.07,-0.07,-0.03,0.01,-0.02,-0.01,-0.02,0.03,0.04,0.07,0.06,0.03,-0.01,-0.01,0.02,-0.05,-0.02,0.01,0,-0.01,-0.05,-0.07,-0,-0.05,0.01,-0.07,-0.12,-0.02,-0.04,0.04,0,0.09,-0.09,0.12,0.04,-0.02,0.12,-0.02,-0.11,-0,-0,-0
0.02,0.03,0.01,0.02,-0.01,0.04,0.06,-0.03,0.03,-0.01,-0.01,-0.03,-0.05,-0.01,0.02,0.04,0.06,0.04,0.06,0.04,-0,0.05,0.06,-0.02,0.03,0.01,-0.01,-0.01,0,-0.05,-0.03,0.08,0.02,-0.07,-0,-0.02,-0.03,0.03,-0.01,-0.06,0.03,0.01,0.01,-0.01,-0.04,-0,0.02,1,-0.02,-0.05,0.02,0.02,-0.02,0.02,-0.07,0,0.04,0.02,-0.09,0.06,0.01,0,-0.03,-0.01,-0.06,-0.03,-0.05,-0.05,-0.03,-0.04,0.01,0.03,-0.02,-0.01,-0.03,-0.06,-0.08,-0.02,0.02,0.11,0.07,0.01,0.11,0.04,-0.02,0.01,-0.02,0.06,-0.09,-0.09,-0.01,0,-0.01
0.04,0.02,-0.03,-0.04,0.01,-0.03,-0.02,-0.02,0.01,-0.01,-0.07,0.03,-0.08,0.01,0.04,-0.03,0.07,-0.02,-0.02,0.01,0.04,-0.01,0.02,0.02,-0.05,-0.04,-0,0.08,-0.09,-0.01,0.07,0.07,0.02,0.01,-0.08,-0.04,0.06,0.07,-0.04,0.02,0.06,0,0.06,-0.02,0.02,0.03,0.01,-0.02,1,-0.02,0.02,-0.01,0.02,0.05,-0.04,-0.03,0.09,-0.05,-0.02,-0,0.05,0.09,0.05,0.01,-0.08,0.01,-0.01,0.04,0.02,0.05,0.05,0.01,-0.02,-0.01,-0.02,0.06,-0.02,-0.07,0.05,0.08,0,0.03,-0.03,0.06,-0.12,0.01,0,0.02,0.11,-0.05,-0.02,0.01,-0.02
-0.03,-0.02,-0.01,0.08,-0.03,0.03,-0,0.08,-0.02,-0,0.05,-0,0.02,0.03,-0.01,-0.04,0.05,0,-0.04,-0.05,0.03,0.04,-0.04,0.04,0.05,0.02,0.01,-0.01,0.06,0.03,0.02,0.03,0.04,0.03,0.02,-0.09,-0.02,-0.04,-0.02,0.18,0.04,-0.08,-0.1,0.01,0.05,-0.07,0.06,-0.05,-0.02,1,-0.01,-0.01,-0.11,0.06,-0.04,0.05,-0.03,0.02,0.04,0.06,0.01,0.01,0.02,-0.01,0.06,-0.07,0.05,0.05,0.02,0.04,-0.05,-0.05,0.11,-0.05,-0.01,-0.07,0.01,-0.02,-0.05,0,-0.09,0.05,-0.05,0,0.1,0.05,0.12,-0.12,-0.11,0.06,0,0,0.01
-0.01,-0.01,0.01,-0.03,-0.06,0.03,0.02,0,-0.03,0.06,0,-0.01,-0.07,0.09,0.01,0.01,0.01,0.02,-0.01,-0.02,0.02,-0,-0.01,0.02,0.02,0.02,0.03,0.01,-0.04,-0.03,0.07,0.01,-0,0.08,-0.02,0.09,0.06,0.07,-0.01,0.01,0.04,0.02,0.02,0.01,0.03,0.07,-0.01,0.02,0.02,-0.01,1,-0.07,-0.02,-0.02,0.07,-0.03,0.03,-0.02,-0.03,-0,-0.01,-0.03,-0.05,-0.04,0.02,0,0.01,-0.03,0.06,0.05,0.03,-0,0.01,0.01,-0.03,0.03,0.04,0.02,-0.05,-0.04,0.02,0.01,-0.06,-0.05,-0.1,0.06,0,0.12,-0.05,-0.05,0.04,-0.03,0.04
0.05,-0.05,0.02,-0.04,0.05,-0.04,0.02,0.04,-0.02,0.01,0.02,0.01,-0.05,0.04,-0.01,-0.04,0.02,-0.02,0,0,-0.05,-0.02,-0.04,0.02,0.02,0.01,0.03,-0.01,0.04,-0.07,0.04,-0.07,-0.03,0.01,0.11,-0.03,0.09,-0.01,-0.08,-0.05,-0.02,-0.06,-0.09,0.04,0.08,0.01,-0.07,0.02,-0.01,-0.01,-0.07,1,-0.12,-0.01,0.04,-0.03,-0,0.04,0.08,-0.05,0.03,-0.03,-0.03,-0,0.04,0.01,0.01,0.02,-0.03,0.03,0.09,0.09,-0.09,-0.02,-0.01,0.09,0.05,0.02,-0.05,-0.03,0,0,-0.06,0.09,0.03,-0.08,-0.05,-0.06,0.03,0.11,-0.06,0.07,-0.03
-0.05,-0.01,-0.04,0.05,0,-0.03,-0.01,-0.02,0.05,-0.08,0.04,0.04,0.03,-0.03,-0.02,0.02,0.02,0.03,0.05,-0.04,-0.02,-0.06,0.02,-0.02,-0.02,-0.04,-0,0.01,-0.03,0.01,0.01,0.06,-0.03,0.01,0.03,0.04,-0.08,0.12,-0.05,-0.01,0.02,-0.02,-0.12,0.01,0.11,0.06,-0.07,-0.02,0.02,-0.11,-0.02,-0.12,1,-0.01,-0.02,-0.11,-0.02,0.03,-0.05,0.02,-0.02,-0.07,0.04,0.06,-0.08,0.04,0.04,0.01,-0.02,-0.06,0.07,0.01,-0.09,0.02,0.03,-0.01,0.01,-0.09,0.01,-0.04,0.03,0.03,-0.07,0.03,0,0.14,0.14,0.03,0.12,-0.11,0.06,-0.05,0.06
-0,-0,-0.04,0.01,-0.04,-0.02,-0.01,-0.03,-0.09,0.07,0.05,0.02,-0,0.03,-0.03,-0.04,0.01,0,0.03,0.01,0.02,-0.04,0.04,-0.02,0.02,-0.05,0.01,-0.09,-0,0.01,-0.04,0.05,-0,-0.05,0,0.04,0.01,-0.03,-0.02,0.11,0.08,0.01,-0.1,0.03,-0.02,-0.01,-0.03,0.02,0.05,0.06,-0.02,-0.01,-0.01,1,0.01,0.12,0,0.02,-0.05,0.04,-0.03,-0.01,0.04,0.1,-0.02,-0.04,-0.01,-0.05,0.07,0.01,-0.04,-0.04,-0.03,0.07,0.02,-0.08,0.01,-0.02,-0.1,0.03,-0.09,0.03,0.06,-0.02,-0.01,-0.1,-0.08,-0.07,-0.06,0.04,-0.03,0.02,-0.02
0.04,-0.03,-0,-0.07,-0.01,-0.01,-0,-0.05,0.02,-0.01,-0.08,0.08,-0.06,0.05,-0.05,0.03,-0.03,-0.02,-0.01,0.03,-0.02,-0.05,-0.09,-0.05,-0.15,-0.11,-0.02,0.05,-0.03,-0.06,0.03,0.05,-0.05,0.04,0.01,0.07,-0,-0.03,0.05,0.12,0,-0.01,0.03,-0.02,0.02,-0.02,0.01,-0.07,-0.04,-0.04,0.07,0.04,-0.02,0.01,1,0.02,-0.07,-0.04,-0.08,-0.08,0.03,-0,0.01,-0.03,0.01,-0.03,0.08,-0.06,-0.02,-0.06,0.04,0.03,0.08,0.04,-0.02,0.02,0.02,0.04,0.07,-0.04,-0,-0.05,-0.03,0.01,0.02,-0.04,0,-0.1,-0.07,0.14,0.02,0,0.03
0.01,0.04,0.01,0.02,0.02,0.03,0.04,-0.02,-0.03,-0.02,0.01,-0.02,-0.04,-0.02,0,-0.05,-0.02,-0.05,-0.04,0.03,-0.05,0.01,-0.01,-0.01,0.01,0.01,0.02,-0.03,0.02,0.04,0.02,-0.02,0.01,-0.03,-0.02,0.02,-0.03,0.07,0.02,-0.04,0.02,-0.01,0,-0.09,-0.02,0.03,-0.02,0,-0.03,0.05,-0.03,-0.03,-0.11,0.12,0.02,1,0,0.02,-0.08,-0.04,-0.02,0.05,-0.01,-0.06,-0.04,0.03,0.03,-0.03,0,-0.08,-0.08,-0.02,-0.09,-0.05,-0.01,-0.05,-0,-0.01,0.02,0.03,-0.01,-0.02,0.06,0,-0.05,-0.04,-0,-0.08,-0.08,0,-0.01,-0,-0.02
0.05,0,-0.04,0.02,-0.03,-0.06,0.02,-0.07,-0.03,0.01,-0.02,0.01,-0.05,0.02,-0.01,-0.05,-0,0.03,-0.1,0.01,-0.03,0.04,0,0.03,0.01,-0.04,0.1,0.03,-0.04,-0.01,0.04,0.05,-0.06,-0.05,-0.09,-0.06,0.08,0.06,-0.01,-0.01,0.12,-0.04,-0.01,-0.02,0.1,0.04,-0.01,0.04,0.09,-0.03,0.03,-0,-0.02,0,-0.07,0,1,0.06,-0.08,-0.04,0.01,-0.04,0.01,0.02,-0.02,0.08,-0.02,0.03,-0.01,0.08,-0,0,0.06,0.16,0.06,0.01,0.07,-0.06,0.05,0.05,-0.03,0.09,0.08,0.1,-0.08,0.05,0.02,0.06,0.06,-0.08,-0.02,0.02,-0.01
-0.07,0.03,0.04,-0.05,-0.02,0.04,0.06,0.01,-0.05,-0.02,-0,0.02,0.04,-0.1,-0.04,-0.07,0.04,-0,-0.03,0.06,-0.03,0.02,0.08,-0.03,-0.02,-0.05,0.05,-0.02,0.04,-0.04,-0,0.02,-0.03,-0.07,-0.04,-0.03,-0.1,-0.03,-0.17,-0.06,0.02,-0.03,0.01,-0.07,0.03,-0.08,-0.02,0.02,-0.05,0.02,-0.02,0.04,0.03,0.02,-0.04,0.02,0.06,1,-0.08,0.08,-0.07,0.05,-0.04,-0.11,-0.04,0.04,-0.05,-0.05,-0.04,0.02,-0.08,-0.01,-0.06,-0,0.02,-0.07,0.03,-0.01,0.07,-0.06,0.01,-0.02,0.05,-0.04,-0.01,0.02,0.06,-0.09,0.05,0.06,-0.01,-0.01,-0.02
-0.03,-0.04,0.02,0.03,0.04,0.01,0.02,-0.01,0.05,-0.05,-0.03,0.05,0.05,0.04,-0.01,-0.02,-0.02,0,-0.06,0,-0.02,-0.02,-0.11,0.02,0.04,-0.02,0.02,0.03,-0.03,0.04,0.05,-0.06,0.07,0.01,0.02,0.05,0.01,0,0.03,0.06,-0.05,-0,-0.04,-0.02,0.09,0.02,0.03,-0.09,-0.02,0.04,-0.03,0.08,-0.05,-0.05,-0.08,-0.08,-0.08,-0.08,1,-0.04,-0.06,0.05,-0.05,-0.03,-0.04,-0.02,0.01,0.1,-0,0.01,0.05,0.12,0.09,-0.07,0.06,0.04,-0.07,0.07,-0.02,0.02,0.05,0.02,-0.12,-0.03,-0.01,0,0.02,-0.04,0.02,-0.13,0.03,-0.02,0.04
-0.02,0.03,-0,0.01,-0.03,-0.03,0,-0.03,-0.04,0.03,-0.01,-0.11,0.05,-0.08,0.04,-0.04,0.07,0.08,-0.06,0.06,-0.03,-0,-0.05,0.01,0.1,0.01,0.05,0.03,-0.04,-0.02,-0.1,0.04,0.05,-0.05,-0.04,-0.07,0.02,0.1,-0.03,-0.05,-0.01,-0.02,0.02,-0.02,-0.03,0.01,0.04,0.06,-0,0.06,-0,-0.05,0.02,0.04,-0.08,-0.04,-0.04,0.08,-0.04,1,-0.01,-0.05,0.01,0.06,-0.03,0.04,-0.11,-0.03,0.05,-0.02,-0.07,0.06,-0.04,0.04,0.01,-0.05,-0,-0.04,0.04,0.07,-0.02,0.04,0.03,-0.08,-0.15,0.01,0,0.02,0.06,-0.03,0.01,-0.02,-0
0.05,-0.03,-0,0.05,-0.07,0.03,-0.07,0.07,0.06,0.02,-0.01,0.05,-0.09,0.02,-0.03,-0.02,-0.02,0.04,0.06,0.09,-0.01,-0.02,-0,0.05,-0.02,0.09,0.09,-0.04,0.06,-0.04,-0.02,-0.02,-0.01,0.04,-0.02,-0.02,-0.03,0.02,0.03,0.06,-0.03,0.02,-0.06,0,0.06,0,0.07,0.01,0.05,0.01,-0.01,0.03,-0.02,-0.03,0.03,-0.02,0.01,-0.07,-0.06,-0.01,1,0,-0.01,0.05,0.02,-0.05,-0.01,-0.06,0.12,-0.02,0.09,0.03,-0.09,-0.03,-0.02,0.03,0.01,0.01,0.06,-0.1,-0.02,-0.07,0.04,-0.04,0.09,0.14,0.06,0.21,0.02,0.07,-0.05,0.05,-0.04
-0.02,-0.01,0.03,-0.04,0.01,0.01,-0.02,0.07,0.05,0.03,-0.1,-0.05,-0.05,-0.01,0.04,0.06,-0.01,-0.01,0,-0.01,0.02,0.01,0.04,-0.03,0.03,-0,-0.02,0,0.03,0.06,0.03,0.03,0.04,0.03,-0.01,0,0,-0.02,0.03,-0,-0.04,-0.03,0.02,-0.04,-0.05,0.1,0.06,0,0.09,0.01,-0.03,-0.03,-0.07,-0.01,-0,0.05,-0.04,0.05,0.05,-0.05,0,1,-0.02,-0.07,-0.11,-0,-0.06,-0.01,-0,-0.06,0.03,-0.09,0.06,-0.04,-0.07,0.02,0.03,0.02,0.05,0.07,-0.01,-0.03,0.05,0,-0.04,-0.02,-0.02,-0,-0.07,0.12,0.02,-0.01,0.02
-0.02,0.01,-0.04,-0.01,0.01,0.03,-0.01,-0.06,0.03,-0.03,0.02,0.04,-0,-0.07,0.01,0.01,-0.04,-0.07,-0.02,-0.01,-0,-0.05,0.03,0.03,-0.04,-0,-0.01,0.05,-0.01,0.04,0.05,0.02,0.02,-0,0,0.09,0.02,-0.01,0.04,0.08,0.06,-0.04,0.03,0.02,0,-0.05,0.03,-0.03,0.05,0.02,-0.05,-0.03,0.04,0.04,0.01,-0.01,0.01,-0.04,-0.05,0.01,-0.01,-0.02,1,-0.05,0.05,0.02,0.04,-0,-0.01,0.03,0.03,-0.04,-0.01,-0.02,0.01,-0.04,-0.02,-0.07,0.07,0.13,-0.01,0.1,0.02,0.01,-0.06,-0.08,0.05,-0.27,0.04,0.11,0.04,-0.03,0.03
-0,0.03,0.02,0,-0.05,-0,-0.03,-0.02,0.02,0.02,0.02,-0.01,0.05,0.01,-0.06,-0.04,0.04,-0.07,0.01,0.06,-0.12,0.01,-0.03,0.01,0.01,-0.01,0.02,0.01,-0.01,-0.04,0.01,-0.06,0.02,-0.01,-0.02,-0.01,-0.04,0.01,-0.05,-0.01,0.01,0.07,-0.04,0.04,-0.04,-0,-0.01,-0.01,0.01,-0.01,-0.04,-0,0.06,0.1,-0.03,-0.06,0.02,-0.11,-0.03,0.06,0.05,-0.07,-0.05,1,0.03,-0.05,-0.05,-0.01,0.02,0.01,-0.1,-0.08,-0.04,-0.03,0.07,0.02,-0.17,0.01,-0.11,0.05,0,-0.05,0.09,-0.12,0.08,0.07,0.12,-0.09,-0.07,-0.11,-0.05,0.01,-0.07
0.01,-0,-0.02,-0.01,-0.07,0.04,0.01,0.05,0.01,-0.04,0.01,-0.1,0.01,0.02,0.02,-0.06,-0.09,0.04,-0.03,-0.03,-0.02,0.03,0.01,0.04,-0.02,-0.02,0.03,0.05,-0.01,-0.06,-0.03,0.07,-0.01,0.06,0.04,0,-0.09,-0.01,0.03,0,-0.04,0.03,-0.02,0.11,0.06,-0.04,-0.01,-0.06,-0.08,0.06,0.02,0.04,-0.08,-0.02,0.01,-0.04,-0.02,-0.04,-0.04,-0.03,0.02,-0.11,0.05,0.03,1,-0.01,-0.02,-0,0.11,0.13,-0.02,-0.09,-0.01,-0.02,0.01,-0.08,-0.1,-0.1,0.11,0.01,-0.03,0.02,-0.05,0.02,0.18,0.13,0.11,0.06,-0.09,0.07,0,-0.01,-0.01
0.03,-0.03,0.01,0.07,-0.01,-0.03,-0.01,0.03,0.01,-0.02,-0.02,-0.01,0.02,0,0.01,-0.03,0.01,-0.01,0.01,0,-0.02,-0.03,0.02,-0.04,-0.05,-0.01,0.06,-0,-0,0,0.02,0.08,0.02,-0.02,0.03,-0.04,-0.01,-0.03,-0.04,0.06,-0.03,0.01,-0,-0.01,0.01,-0.07,0.02,-0.03,0.01,-0.07,0,0.01,0.04,-0.04,-0.03,0.03,0.08,0.04,-0.02,0.04,-0.05,-0,0.02,-0.05,-0.01,1,-0.05,-0.05,0.09,-0.03,0.06,0.03,-0.05,-0.06,0.01,-0.02,0.01,-0.04,0.05,-0.09,0.07,0.06,-0.06,0.08,0.07,0.01,-0.03,0.07,0.02,-0.2,-0,0.02,0.02
0.03,0,0.02,0.03,0.01,0,0,0.02,-0,0,-0.03,0.01,-0,0.02,-0.08,0.08,-0.05,-0.06,0.04,0.03,-0.01,0.01,0.01,-0.01,0.05,-0.04,0,0.03,0.01,0.07,0.02,-0.06,-0.02,-0.03,-0.01,0.03,0.03,-0.02,0.01,0.01,0.01,-0.01,0,0.04,-0.01,0.03,-0.05,-0.05,-0.01,0.05,0.01,0.01,0.04,-0.01,0.08,0.03,-0.02,-0.05,0.01,-0.11,-0.01,-0.06,0.04,-0.05,-0.02,-0.05,1,0.09,0.04,-0.06,0.06,0.13,0.02,0.02,-0.06,-0.14,-0.03,0.17,-0.02,-0.06,-0.08,-0.02,0.02,0.06,0.03,0.11,0.14,-0.06,-0.01,0.07,-0.01,0,-0.01
